id_contrato,departamento,entidad,modalidad,valor_contrato,fecha_firma
C-000000,SANTANDER,Entidad 018,Minima cuantia,"86.853.571,13",2025-09-26
C-000001,NARINO,Entidad 222,Contratacion directa,"59.238.281,71",2025-02-05
C-000002,META,Entidad 258,Licitacion publica,"4.033.471,75",2025-08-13
C-000003,VALLE DEL CAUCA,Entidad 356,Minima cuantia,"36.882.379,71",2025-05-19
C-000004,BOGOTA D.C.,Entidad 047,Minima cuantia,"8.485.318,24",2025-01-02
C-000005,BOGOTA D.C.,Entidad 012,Contratacion directa,"33.395.769,17",2025-07-15
C-000006,BOGOTA D.C.,Entidad 037,Seleccion abreviada,"18.774.431,68",2025-04-27
C-000007,BOGOTA D.C.,Entidad 275,Seleccion abreviada,"21.320.634,57",2025-02-10
C-000008,TOLIMA,Entidad 012,Minima cuantia,"12.205.518,07",2025-04-28
C-000009,ANTIOQUIA,Entidad 116,Contratacion directa,"104.681.482,51",2025-08-08
C-000010,ANTIOQUIA,Entidad 212,Licitacion publica,"37.388.545,15",2025-10-20
C-000011,VALLE DEL CAUCA,Entidad 139,Contratacion directa,"555.023.118,94",2025-11-05
C-000012,CUNDINAMARCA,Entidad 131,Contratacion directa,"12.810.729,89",2025-05-14
C-000013,ANTIOQUIA,Entidad 040,Contratacion directa,"27.479.396,74",2025-10-18
C-000014,ATLANTICO,Entidad 326,Licitacion publica,"38.180.339,88",2025-06-21
C-000015,BOGOTA D.C.,Entidad 318,Contratacion directa,"31.908.877,81",2025-01-25
C-000016,ANTIOQUIA,Entidad 091,Seleccion abreviada,"115.753.816,09",2025-05-09
C-000017,VALLE DEL CAUCA,Entidad 259,Licitacion publica,"20.318.837,34",2025-01-17
C-000018,CUNDINAMARCA,Entidad 020,Contratacion directa,"195.107.056,68",2025-10-04
C-000019,BOGOTA D.C.,Entidad 138,Licitacion publica,"2.500.672,40",2025-01-18
C-000020,ANTIOQUIA,Entidad 102,Seleccion abreviada,"14.287.729,36",2025-07-28
C-000021,VALLE DEL CAUCA,Entidad 279,Licitacion publica,"19.786.668,53",2025-03-21
C-000022,CUNDINAMARCA,Entidad 109,Contratacion directa,"26.276.173,95",2025-02-09
C-000023,CUNDINAMARCA,Entidad 050,Minima cuantia,"104.363.135,55",2025-12-02
C-000024,ANTIOQUIA,Entidad 038,Minima cuantia,"119.143.931,64",2025-10-15
C-000025,VALLE DEL CAUCA,Entidad 070,Licitacion publica,"10.410.321,37",2025-09-14
C-000026,SANTANDER,Entidad 367,Seleccion abreviada,"42.355.378,71",2025-12-25
C-000027,BOYACA,Entidad 390,Licitacion publica,"6.731.676,97",2025-01-08
C-000028,BOGOTA D.C.,Entidad 267,Seleccion abreviada,"112.811.497,90",2025-09-07
C-000029,BOGOTA D.C.,Entidad 069,Licitacion publica,"1.543.488,28",2025-05-18
C-000030,CUNDINAMARCA,Entidad 227,Seleccion abreviada,"126.239.822,70",2025-05-02
C-000031,VALLE DEL CAUCA,Entidad 258,Minima cuantia,"141.743.915,58",2025-01-09
C-000032,BOGOTA D.C.,Entidad 216,Seleccion abreviada,"16.024.902,52",2025-03-18
C-000033,ANTIOQUIA,Entidad 310,Contratacion directa,"18.058.957,34",2025-08-16
C-000034,BOGOTA D.C.,Entidad 164,Licitacion publica,"37.937.339,19",2025-03-26
C-000035,BOGOTA D.C.,Entidad 171,Minima cuantia,"34.220.142,26",2025-11-17
C-000036,ANTIOQUIA,Entidad 163,Licitacion publica,"66.407.186,04",2025-06-26
C-000037,CALDAS,Entidad 148,Seleccion abreviada,"14.045.611,67",2025-08-13
C-000038,CUNDINAMARCA,Entidad 363,Licitacion publica,"54.539.623,52",2025-07-04
